week,year,quarter,month,week_number,sku,functionality,functionality_code,color,color_code,feat_main_page,feat_main_flag,vendor,weekly_sales,price,revenue
2016-10-31,2016,4,10,44,1,"Mobile phone accessories",6,black,1,TRUE,1,6,135,10.16,1371.60
2016-11-07,2016,4,11,45,1,"Mobile phone accessories",6,black,1,TRUE,1,6,102,9.86,1005.72
2016-11-14,2016,4,11,46,1,"Mobile phone accessories",6,black,1,TRUE,1,6,110,10.24,1126.40
2016-11-21,2016,4,11,47,1,"Mobile phone accessories",6,black,1,TRUE,1,6,127,8.27,1050.29
2016-11-28,2016,4,11,48,1,"Mobile phone accessories",6,black,1,TRUE,1,6,84,8.83,741.72
2016-12-05,2016,4,12,49,1,"Mobile phone accessories",6,black,1,TRUE,1,6,87,8.98,781.26
2016-12-12,2016,4,12,50,1,"Mobile phone accessories",6,black,1,TRUE,1,6,64,10.40,665.60
2016-12-19,2016,4,12,51,1,"Mobile phone accessories",6,black,1,TRUE,1,6,128,9.57,1224.96
2016-12-26,2016,4,12,52,1,"Mobile phone accessories",6,black,1,TRUE,1,6,23,10.49,241.27
2017-01-02,2017,1,1,1,1,"Mobile phone accessories",6,black,1,TRUE,1,6,154,9.19,1415.26
2017-01-09,2017,1,1,2,1,"Mobile phone accessories",6,black,1,TRUE,1,6,85,11.91,1012.35
2017-01-16,2017,1,1,3,1,"Mobile phone accessories",6,black,1,FALSE,0,6,11,23.19,255.09
2017-01-23,2017,1,1,4,1,"Mobile phone accessories",6,black,1,FALSE,0,6,19,20.59,391.21
2017-01-30,2017,1,1,5,1,"Mobile phone accessories",6,black,1,FALSE,0,6,17,20.74,352.58
2017-02-06,2017,1,2,6,1,"Mobile phone accessories",6,black,1,FALSE,0,6,17,21.94,372.98
2017-02-13,2017,1,2,7,1,"Mobile phone accessories",6,black,1,FALSE,0,6,17,19.73,335.41
2017-02-20,2017,1,2,8,1,"Mobile phone accessories",6,black,1,FALSE,0,6,13,23.88,310.44
2017-02-27,2017,1,2,9,1,"Mobile phone accessories",6,black,1,FALSE,0,6,8,26.11,208.88
2017-03-06,2017,1,3,10,1,"Mobile phone accessories",6,black,1,FALSE,0,6,8,27.50,220.00
2017-03-13,2017,1,3,11,1,"Mobile phone accessories",6,black,1,FALSE,0,6,5,27.69,138.45
